gender,age,pclass,embarked,fare,sibsp,parch,survived
male,42.0,3rd,Southampton,7.11,0,0,0
male,13.0,3rd,Southampton,20.05,0,2,0
male,16.0,3rd,Southampton,20.05,1,1,0
female,39.0,3rd,Southampton,20.05,1,1,1
female,16.0,3rd,Southampton,7.13,0,0,1
male,25.0,3rd,Southampton,7.13,0,0,1
male,30.0,2nd,Cherbourg,24.0,1,0,0
female,28.0,2nd,Cherbourg,24.0,1,0,1
male,27.0,3rd,Cherbourg,18.1509,0,0,1
male,20.0,3rd,Southampton,7.1806,0,0,1
male,30.0,3rd,Southampton,7.05,0,0,0
male,27.0,3rd,Southampton,8.01,0,0,0
female,40.0,3rd,Southampton,9.0906,1,0,0
male,0.8333333333,3rd,Southampton,9.07,0,1,1
female,18.0,3rd,Southampton,9.07,0,1,1
male,35.0,2nd,Southampton,13.0,0,0,0
male,25.0,3rd,Southampton,7.1709,0,0,0
male,19.0,3rd,Southampton,7.1806,0,0,0
male,24.0,3rd,Southampton,7.01,0,0,0
male,25.0,3rd,Southampton,7.01,0,0,0
female,29.0,1st,Southampton,211.6009,0,0,1
male,39.0,3rd,Southampton,8.01,0,0,0
male,0.9166666667,1st,Southampton,151.16,1,2,1
female,2.0,1st,Southampton,151.16,1,2,0
male,30.0,1st,Southampton,151.16,1,2,0
female,25.0,1st,Southampton,151.16,1,2,0
male,18.0,3rd,Southampton,8.06,0,0,0
male,19.0,3rd,Cherbourg,7.0407,0,0,0
female,19.0,3rd,Southampton,7.1701,1,0,1
male,33.0,3rd,Southampton,22.1006,0,0,0
male,47.0,1st,Southampton,26.11,0,0,1
male,4.0,3rd,Southampton,31.0506,4,2,0
female,6.0,3rd,Southampton,31.0506,4,2,0
female,2.0,3rd,Southampton,31.0506,4,2,0
female,16.0,3rd,Southampton,7.1806,4,2,1
female,38.0,3rd,Southampton,7.1506,4,2,0
female,9.0,3rd,Southampton,31.0506,4,2,0
female,11.0,3rd,Southampton,31.0506,4,2,0
male,39.0,3rd,Southampton,31.0506,1,5,0
male,26.0,3rd,Southampton,7.1506,0,0,0
female,39.0,3rd,Southampton,31.0506,1,5,0
male,20.0,3rd,Southampton,7.1701,0,0,0
male,17.0,2nd,Southampton,11.1,0,0,0
male,27.0,2nd,Southampton,10.1,0,0,0
female,62.0,1st,Cherbourg,77.1902,1,0,1
male,39.0,1st,Belfast,89.0,0,0,0
male,26.0,3rd,Southampton,7.1711,0,0,0
female,36.0,2nd,Southampton,26.0,1,0,1
male,31.0,2nd,Southampton,26.0,1,0,0
female,53.0,1st,Southampton,51.0907,2,0,1
male,25.0,3rd,Southampton,17.16,1,0,0
female,18.0,3rd,Southampton,17.16,1,0,0
male,25.0,3rd,Southampton,7.1506,0,0,0
male,71.0,1st,Cherbourg,49.1001,0,0,0
male,57.0,2nd,Southampton,13.0,0,0,0
male,35.0,3rd,Southampton,7.01,0,0,0
male,5.0,3rd,Southampton,31.0709,4,2,0
male,9.0,3rd,Southampton,31.0709,4,2,0
male,3.0,3rd,Southampton,31.0709,4,2,1
male,13.0,3rd,Southampton,31.0709,4,2,0
female,5.0,3rd,Southampton,31.0709,4,2,1
male,40.0,3rd,Southampton,31.0709,1,5,0
male,13.0,3rd,Southampton,7.1511,0,0,1
female,38.0,3rd,Southampton,31.0709,1,5,1
female,45.0,3rd,Cherbourg,7.0406,0,0,1
male,23.0,3rd,Southampton,7.01,0,0,0
male,47.0,1st,Cherbourg,247.1006,1,0,0
female,18.0,1st,Cherbourg,247.1006,1,0,1
female,17.0,3rd,Cherbourg,14.0902,0,0,0
male,27.0,3rd,Cherbourg,7.0406,0,0,0
female,24.0,1st,Cherbourg,69.06,0,0,1
male,23.0,3rd,Southampton,7.1701,0,0,0
female,15.0,3rd,Cherbourg,7.0407,0,0,1
male,32.0,3rd,Southampton,15.17,1,0,0
female,33.0,3rd,Southampton,15.17,3,0,1
female,3.0,3rd,Cherbourg,19.0502,2,1,1
female,0.75,3rd,Cherbourg,19.0502,2,1,1
female,5.0,3rd,Cherbourg,19.0502,2,1,1
female,23.0,3rd,Cherbourg,19.0502,0,3,1
female,18.0,3rd,Southampton,8.01,0,0,1
male,40.0,3rd,Cherbourg,7.0406,0,0,0
male,18.0,2nd,Southampton,11.1,0,0,0
male,22.0,2nd,Southampton,10.1,0,0,0
male,26.0,3rd,Southampton,7.1711,0,0,0
female,36.0,2nd,Southampton,13.0,0,0,1
male,28.0,2nd,Southampton,10.1,0,0,0
female,31.0,3rd,Southampton,8.1308,0,0,1
female,18.0,3rd,Cherbourg,14.0901,0,1,0
female,45.0,3rd,Cherbourg,14.0901,0,1,0
female,27.0,1st,Southampton,78.17,0,0,1
male,47.0,1st,Southampton,30.0,0,0,1
female,33.0,3rd,Queenstown,7.1707,0,0,0
male,22.0,3rd,Southampton,8.01,0,0,0
female,32.0,1st,Cherbourg,76.051,0,0,1
male,52.0,2nd,Southampton,12.1006,0,0,0
male,23.0,3rd,Southampton,7.1711,0,0,0
male,60.0,1st,Cherbourg,25.1806,0,0,0
male,24.0,1st,Cherbourg,247.1005,0,1,0
female,50.0,1st,Cherbourg,247.1005,0,1,1
male,32.0,2nd,Southampton,26.0,1,0,1
female,22.0,2nd,Southampton,26.0,1,0,1
male,36.0,1st,Southampton,75.041,0,0,0
male,44.0,2nd,Southampton,26.0,0,0,0
male,20.0,3rd,Southampton,8.01,0,0,0
male,1.0,2nd,Southampton,39.0,2,1,1
female,4.0,2nd,Southampton,39.0,2,1,1
female,12.0,2nd,Southampton,39.0,2,1,1
female,35.0,2nd,Southampton,39.0,0,3,1
male,37.0,1st,Southampton,52.1101,1,1,1
female,46.0,1st,Southampton,52.1101,1,1,1
male,34.0,2nd,Southampton,13.0,0,0,1
male,26.0,1st,Cherbourg,30.0,0,0,1
male,26.0,3rd,Southampton,7.1506,0,0,0
female,19.0,2nd,Southampton,13.0,0,0,1
male,22.0,3rd,Southampton,9.07,0,0,0
male,23.0,2nd,Southampton,13.0,0,0,0
female,39.0,1st,Cherbourg,63.0702,0,0,1
female,46.0,1st,Cherbourg,247.1006,0,0,1
male,32.0,3rd,Southampton,56.0911,0,0,1
female,31.0,1st,Southampton,221.1507,0,0,1
male,21.0,3rd,Southampton,7.1506,0,0,0
male,24.0,1st,Cherbourg,26.0,0,0,0
male,25.0,1st,Cherbourg,91.0107,1,0,1
female,19.0,1st,Cherbourg,91.0107,1,0,1
male,18.0,3rd,Southampton,7.15,0,0,0
male,28.0,1st,Southampton,26.11,0,0,1
male,45.0,1st,Southampton,35.1,0,0,0
male,39.0,1st,Cherbourg,31.0,0,0,1
female,30.0,1st,Southampton,164.1704,0,0,1
female,61.0,1st,Southampton,26.11,0,0,1
male,41.0,1st,Southampton,26.11,0,0,0
male,26.0,3rd,Southampton,7.1711,0,0,0
male,25.0,2nd,Southampton,13.0,0,0,0
female,40.0,3rd,Queenstown,7.15,0,2,0
male,42.0,3rd,Queenstown,15.1,1,1,0
female,32.0,3rd,Queenstown,15.1,1,1,0
female,45.0,1st,Cherbourg,262.0706,0,0,1
male,26.0,3rd,Southampton,16.02,0,0,0
male,42.0,2nd,Southampton,13.0,0,0,0
female,22.0,1st,Southampton,55.0,0,1,1
male,30.0,2nd,Southampton,13.0,0,0,0
female,22.0,3rd,Queenstown,7.1406,0,0,1
male,41.0,1st,Southampton,30.1,0,0,0
female,20.0,3rd,Southampton,7.1701,0,0,0
male,24.0,2nd,Southampton,22.0,0,0,0
male,48.0,1st,Cherbourg,50.0911,0,0,0
male,29.0,3rd,Southampton,7.0,1,0,0
male,23.0,3rd,Southampton,7.05,1,0,0
male,37.0,1st,Southampton,26.11,0,0,1
male,46.0,1st,Cherbourg,39.12,0,0,0
male,20.0,2nd,Southampton,22.0,0,0,0
male,32.0,2nd,Southampton,13.0,0,0,0
male,22.0,3rd,Southampton,7.1511,0,0,0
male,40.0,3rd,Southampton,8.01,0,0,0
female,18.0,2nd,Southampton,13.0,0,0,1
female,15.0,2nd,Southampton,39.0,0,2,1
female,59.0,1st,Southampton,51.0907,2,0,1
female,40.0,2nd,Southampton,39.0,1,1,1
female,44.0,1st,Cherbourg,27.1405,0,0,1
male,60.0,2nd,Southampton,39.0,1,1,0
female,20.0,2nd,Southampton,26.0,1,0,1
male,25.0,2nd,Southampton,26.0,1,0,0
female,22.0,3rd,Queenstown,7.0508,0,0,0
male,21.0,3rd,Queenstown,7.1517,0,0,1
female,58.0,1st,Cherbourg,76.051,0,0,1
male,7.0,3rd,Cherbourg,15.0411,1,1,0
female,10.0,3rd,Cherbourg,15.0411,1,1,0
female,40.0,3rd,Cherbourg,15.0411,0,2,0
male,19.0,3rd,Queenstown,6.15,0,0,0
female,41.0,1st,Cherbourg,134.1,0,0,1
female,17.0,3rd,Queenstown,7.1707,0,0,0
female,36.0,2nd,Southampton,13.0,0,0,1
male,26.0,2nd,Southampton,13.0,0,0,0
male,21.0,3rd,Cherbourg,7.0407,0,0,0
male,46.0,1st,Southampton,26.11,0,0,0
male,42.0,2nd,Southampton,13.0,0,0,0
female,40.0,2nd,Southampton,13.0,0,0,1
female,21.0,3rd,Southampton,8.1303,0,0,0
female,30.0,3rd,Southampton,8.1303,0,0,0
male,18.0,3rd,Southampton,8.1303,0,0,0
male,38.0,3rd,Southampton,8.1303,0,0,0
male,28.0,1st,Southampton,31.0,0,0,0
male,42.0,1st,Southampton,26.0509,0,0,1
male,0.8333333333,2nd,Southampton,29.0,0,2,1
male,26.0,2nd,Southampton,29.0,1,1,1
female,28.0,2nd,Southampton,29.0,1,1,1
male,17.0,3rd,Southampton,8.1303,0,0,0
male,17.0,3rd,Southampton,8.1303,0,0,0
female,35.0,2nd,Southampton,21.0,0,0,1
male,21.0,2nd,Belfast,22.0,0,0,0
female,22.0,3rd,Queenstown,7.15,0,0,0
male,21.0,3rd,Queenstown,7.15,0,0,0
female,52.0,1st,Cherbourg,27.0811,0,0,1
male,29.0,3rd,Southampton,8.01,0,0,0
male,28.0,3rd,Cherbourg,14.0902,1,0,0
female,18.0,3rd,Cherbourg,14.0902,1,0,0
male,19.0,2nd,Southampton,13.0,0,0,0
female,58.0,1st,Cherbourg,512.0607,0,1,1
male,36.0,1st,Cherbourg,512.0607,0,1,1
male,28.0,3rd,Southampton,7.1511,0,0,0
male,24.0,3rd,Southampton,7.1701,0,0,0
male,33.0,1st,Southampton,5.0,0,0,0
male,17.0,1st,Southampton,47.02,0,0,0
male,27.0,1st,Southampton,47.02,0,0,0
female,45.0,3rd,Queenstown,7.15,0,0,0
male,54.0,2nd,Southampton,26.0,1,0,0
male,11.0,1st,Southampton,120.0,1,2,1
female,13.0,1st,Southampton,120.0,1,2,1
female,45.0,2nd,Southampton,26.0,1,0,0
female,36.0,1st,Southampton,120.0,1,2,1
male,36.0,1st,Southampton,120.0,1,2,1
male,28.0,3rd,Southampton,7.05,0,0,0
male,49.0,1st,Southampton,26.0,0,0,0
female,36.0,1st,Cherbourg,27.1405,0,0,1
female,25.0,1st,Southampton,78.17,1,0,1
male,36.0,1st,Southampton,78.17,1,0,0
male,24.0,3rd,Southampton,8.01,0,0,0
male,46.0,1st,Southampton,61.0306,1,0,0
female,47.0,1st,Southampton,61.0306,1,0,1
male,27.0,1st,Southampton,53.02,1,0,1
female,32.0,1st,Southampton,53.02,1,0,1
male,52.0,2nd,Southampton,13.1,0,0,0
male,37.0,2nd,Southampton,26.0,1,0,0
female,29.0,2nd,Southampton,26.0,1,0,0
male,20.0,3rd,Queenstown,7.1408,0,0,0
female,36.0,1st,Cherbourg,262.0706,0,0,1
female,30.0,1st,Southampton,86.1,0,0,1
male,45.0,1st,Cherbourg,29.14,0,0,1
female,48.0,1st,Southampton,55.0,0,1,1
male,32.0,3rd,Southampton,56.0911,0,0,1
male,43.0,1st,Belfast,89.0,0,0,0
male,29.0,3rd,Southampton,8.01,0,0,0
female,25.0,2nd,Southampton,30.0,1,1,1
female,52.0,2nd,Southampton,30.0,0,2,1
male,26.0,3rd,Cherbourg,14.0901,1,0,0
male,21.0,3rd,Cherbourg,14.0901,1,0,0
male,29.0,2nd,Southampton,26.0,1,0,0
male,28.0,2nd,Southampton,22.0,0,0,0
female,28.0,2nd,Southampton,27.0,1,0,1
female,26.0,1st,Cherbourg,136.1507,1,0,1
male,27.0,1st,Cherbourg,136.1507,1,0,0
female,22.0,1st,Southampton,151.16,0,0,1
male,40.0,1st,Southampton,52.0,0,0,0
male,20.0,3rd,Southampton,7.01,0,0,0
male,18.0,3rd,Southampton,8.01,0,0,1
male,24.0,3rd,Queenstown,7.05,0,0,0
male,24.0,3rd,Southampton,7.1711,0,0,0
male,29.0,2nd,Southampton,10.1,0,0,0
male,27.0,2nd,Southampton,13.0,0,0,0
male,25.0,2nd,Southampton,10.1,0,0,1
male,37.0,1st,Southampton,25.1109,0,0,0
female,8.0,2nd,Southampton,26.05,0,2,1
male,31.0,2nd,Southampton,26.05,1,1,0
female,30.0,2nd,Southampton,26.05,1,1,1
male,36.0,3rd,Southampton,7.1711,0,0,0
female,39.0,1st,Cherbourg,83.0302,1,1,1
male,37.0,1st,Cherbourg,83.0302,1,1,0
female,64.0,1st,Cherbourg,83.0302,0,2,1
male,31.0,3rd,Queenstown,7.1408,0,0,0
male,40.0,3rd,Queenstown,7.15,0,0,0
female,23.0,3rd,Queenstown,7.15,0,0,1
female,41.0,3rd,Queenstown,7.1207,0,0,0
male,66.0,3rd,Queenstown,7.15,0,0,0
male,43.0,3rd,Southampton,8.01,0,0,0
female,22.0,2nd,Southampton,10.1,0,0,1
female,30.0,2nd,Southampton,13.0,0,0,0
female,32.0,2nd,Southampton,21.0,0,0,0
male,35.0,3rd,Southampton,7.1711,0,0,0
male,27.0,3rd,Southampton,7.1711,0,0,0
male,19.0,3rd,Southampton,7.1711,0,0,0
male,30.0,3rd,Southampton,8.01,0,0,0
female,55.0,1st,Southampton,25.141,2,0,1
female,16.0,3rd,Queenstown,7.15,0,0,1
male,21.0,2nd,Southampton,11.1,0,0,0
male,3.0,3rd,Southampton,15.18,1,1,1
male,9.0,3rd,Southampton,15.18,1,1,1
female,36.0,3rd,Southampton,15.18,0,2,1
male,58.0,3rd,Southampton,7.05,0,0,0
male,59.0,1st,Southampton,26.11,0,0,0
male,20.0,3rd,Southampton,8.0302,0,0,0
female,16.0,3rd,Southampton,16.02,0,1,1
male,43.0,3rd,Southampton,16.02,0,1,0
male,70.0,1st,Southampton,71.0,1,1,0
female,39.0,1st,Southampton,26.11,0,2,1
female,64.0,1st,Southampton,71.0,1,1,1
male,17.0,3rd,Southampton,8.1303,0,0,0
male,39.0,1st,Cherbourg,71.0508,1,0,0
female,35.0,1st,Cherbourg,71.0508,1,0,1
male,22.0,2nd,Belfast,22.0,0,0,0
male,28.0,3rd,Cherbourg,7.0407,0,0,0
female,22.0,3rd,Southampton,10.1004,0,0,0
male,45.0,3rd,Southampton,8.01,0,0,1
male,19.0,3rd,Southampton,10.0305,0,0,0
female,33.0,3rd,Queenstown,6.19,0,0,1
male,29.0,3rd,Queenstown,7.15,0,0,1
male,51.0,1st,Southampton,26.11,0,0,1
male,0.3333333333,3rd,Southampton,14.08,0,2,0
male,34.0,3rd,Southampton,14.08,1,1,0
female,28.0,3rd,Southampton,14.08,1,1,0
male,27.0,1st,Southampton,30.1,0,0,1
female,36.0,1st,Southampton,151.16,0,0,1
male,27.0,3rd,Southampton,7.1711,0,0,0
female,27.0,1st,Cherbourg,52.0,1,2,1
male,31.0,1st,Cherbourg,52.0,1,0,0
male,8.0,2nd,Southampton,36.15,1,1,1
male,24.0,3rd,Southampton,24.03,2,0,0
male,19.0,2nd,Southampton,73.1,0,0,0
male,22.0,3rd,Southampton,8.01,0,0,0
male,22.0,3rd,Southampton,24.03,2,0,0
male,17.0,3rd,Southampton,8.01,2,0,0
female,48.0,2nd,Southampton,36.15,0,2,1
female,28.0,2nd,Southampton,13.0,0,0,1
female,34.0,3rd,Southampton,16.02,1,0,1
male,32.0,3rd,Southampton,16.02,1,0,0
male,18.0,2nd,Southampton,73.1,0,0,0
male,1.0,3rd,Southampton,20.1106,1,2,1
female,0.1666666667,3rd,Southampton,20.1106,1,2,1
male,25.0,3rd,Southampton,20.1106,1,2,0
female,32.0,3rd,Southampton,20.1106,1,2,1
male,25.0,3rd,Southampton,7.1711,0,0,0
female,24.0,2nd,Cherbourg,27.1405,1,0,1
male,29.0,2nd,Cherbourg,27.1405,1,0,0
male,36.0,3rd,Southampton,17.08,1,0,1
female,36.0,3rd,Southampton,17.08,1,0,1
male,30.0,3rd,Southampton,9.1,0,0,1
male,25.0,2nd,Southampton,31.1,0,0,0
male,30.0,3rd,Southampton,7.1711,0,0,0
male,22.0,3rd,Southampton,7.05,0,0,0
male,26.0,3rd,Southampton,7.05,0,0,0
male,16.0,3rd,Southampton,9.1,0,0,0
female,19.0,3rd,Queenstown,7.1707,0,0,1
male,18.0,2nd,Southampton,73.1,0,0,0
male,31.0,1st,Southampton,57.0,1,0,1
female,17.0,1st,Southampton,57.0,1,0,1
male,17.0,3rd,Southampton,7.1711,0,0,0
male,42.0,3rd,Southampton,8.1303,0,0,0
male,43.0,3rd,Southampton,7.1711,0,0,0
male,52.0,1st,Southampton,81.1702,1,1,1
male,4.0,1st,Southampton,81.1702,0,2,1
female,34.0,1st,Southampton,81.1702,1,1,1
female,18.0,2nd,Southampton,23.0,0,1,1
female,34.0,2nd,Southampton,23.0,0,1,1
female,21.0,3rd,Queenstown,7.15,0,0,0
male,37.0,3rd,Queenstown,7.15,0,0,0
male,18.0,3rd,Southampton,8.01,0,0,1
male,22.0,3rd,Queenstown,8.0902,0,0,0
female,48.0,1st,Cherbourg,106.0806,1,0,1
female,27.0,1st,Cherbourg,247.1005,1,1,1
male,50.0,1st,Cherbourg,106.0806,1,0,0
male,55.0,2nd,Southampton,26.0,0,0,0
female,31.0,3rd,Southampton,12.0906,0,0,1
female,28.0,3rd,Queenstown,7.15,0,0,0
male,33.0,3rd,Cherbourg,7.1711,0,0,0
male,8.0,2nd,Southampton,32.1,0,2,1
male,42.0,2nd,Southampton,32.1,1,1,0
female,34.0,2nd,Southampton,32.1,1,1,1
female,27.0,3rd,Queenstown,7.15,0,0,1
female,24.0,3rd,Southampton,8.01,0,0,1
female,48.0,1st,Cherbourg,56.1807,1,0,1
male,49.0,1st,Cherbourg,39.12,1,0,1
male,39.0,1st,Cherbourg,29.14,0,0,0
male,24.0,3rd,Southampton,7.11,0,0,1
female,27.0,2nd,Cherbourg,13.1702,1,0,1
female,30.0,2nd,Cherbourg,13.1702,1,0,1
male,65.0,3rd,Queenstown,7.15,0,0,0
male,23.0,3rd,Southampton,13.18,1,0,0
female,22.0,3rd,Southampton,13.18,1,0,1
female,23.0,1st,Cherbourg,83.0302,0,1,1
male,18.0,3rd,Southampton,7.1506,0,0,0
male,25.0,2nd,Southampton,13.0,0,0,0
male,16.0,3rd,Southampton,7.1506,0,0,0
male,45.0,3rd,Southampton,6.1906,0,0,0
male,29.0,3rd,Cherbourg,7.0406,0,0,0
male,15.0,3rd,Cherbourg,7.0407,1,1,0
male,22.0,3rd,Cherbourg,7.0407,1,1,0
male,48.0,3rd,Southampton,7.05,0,0,0
female,5.0,3rd,Southampton,12.0906,0,0,1
male,21.0,2nd,Southampton,13.0,0,0,0
female,39.0,1st,Cherbourg,247.1006,0,0,1
male,37.0,3rd,Southampton,7.01,0,0,0
female,54.0,1st,Cherbourg,78.0504,1,0,1
female,36.0,1st,Cherbourg,31.1307,0,0,0
male,38.0,3rd,Southampton,15.02,0,0,0
male,18.0,2nd,Southampton,13.0,0,0,0
male,46.0,3rd,Southampton,7.05,0,0,0
male,26.0,3rd,Queenstown,7.15,0,0,0
male,49.0,1st,Southampton,221.1507,0,0,0
male,32.0,2nd,Southampton,26.0,1,0,0
male,18.0,2nd,Southampton,10.1,0,0,0
male,34.0,3rd,Southampton,7.01,0,0,1
male,18.0,3rd,Southampton,7.1511,0,0,0
female,48.0,1st,Cherbourg,31.1308,0,0,1
female,22.0,3rd,Queenstown,7.15,0,0,0
female,42.0,1st,Cherbourg,110.1708,0,0,1
male,28.0,3rd,Queenstown,7.15,0,0,0
male,48.0,3rd,Queenstown,6.19,0,0,0
male,36.0,1st,Southampton,26.0509,0,0,1
male,19.0,3rd,Queenstown,7.1707,0,0,0
male,20.0,3rd,Queenstown,7.15,0,0,0
male,32.0,3rd,Southampton,56.0911,0,0,1
female,20.0,3rd,Southampton,34.0706,2,2,0
female,7.0,3rd,Southampton,34.0706,2,2,0
male,23.0,3rd,Southampton,8.01,0,0,0
male,18.0,3rd,Southampton,34.0706,2,2,0
female,54.0,3rd,Southampton,34.0706,1,3,0
male,14.0,3rd,Southampton,34.0706,1,3,0
male,30.0,1st,Southampton,27.15,0,0,0
female,24.0,1st,Southampton,263.0,3,2,1
female,28.0,1st,Southampton,263.0,3,2,1
female,23.0,1st,Southampton,263.0,3,2,1
male,19.0,1st,Southampton,263.0,3,2,0
male,64.0,1st,Southampton,263.0,1,4,0
female,60.0,1st,Southampton,263.0,1,4,1
male,28.0,3rd,Queenstown,7.15,0,0,0
male,38.0,2nd,Southampton,13.0,0,0,0
female,32.0,1st,Cherbourg,56.1807,0,0,1
male,37.0,1st,Southampton,26.11,0,0,0
male,49.0,1st,Southampton,133.13,2,0,1
male,43.0,1st,Cherbourg,27.1405,1,0,1
female,42.0,1st,Southampton,133.13,1,0,1
female,22.0,1st,Cherbourg,49.1,0,2,1
male,60.0,1st,Cherbourg,79.04,1,1,1
female,48.0,1st,Cherbourg,79.04,1,1,1
male,39.0,2nd,Belfast,22.0,0,0,0
male,39.0,1st,Southampton,89.0,0,0,0
female,38.0,2nd,Southampton,13.0,0,0,0
male,37.0,1st,Southampton,53.02,1,0,0
female,35.0,1st,Southampton,53.02,1,0,1
male,36.0,2nd,Southampton,26.0,0,0,0
male,38.0,2nd,Southampton,21.0,1,0,0
male,33.0,2nd,Southampton,21.0,1,0,0
male,29.0,3rd,Queenstown,7.141,0,0,0
male,23.0,3rd,Southampton,14.1,0,0,0
female,39.0,2nd,Southampton,13.0,0,0,1
male,19.0,2nd,Southampton,26.0,0,0,0
male,26.0,2nd,Southampton,10.1,0,0,0
male,47.0,1st,Southampton,38.1,0,0,0
female,38.0,3rd,Cherbourg,7.0407,0,0,1
male,21.0,3rd,Cherbourg,7.0406,0,0,0
male,30.0,3rd,Cherbourg,7.1711,0,0,0
female,22.0,1st,Cherbourg,59.08,0,1,1
female,44.0,1st,Cherbourg,59.08,0,1,1
female,35.0,1st,Southampton,211.1,0,0,1
male,23.0,1st,Cherbourg,79.04,0,0,0
male,47.0,2nd,Southampton,10.1,0,0,0
male,19.0,2nd,Southampton,11.1,1,0,0
male,21.0,2nd,Southampton,11.1,1,0,0
male,24.0,2nd,Southampton,13.1,0,0,0
male,23.0,3rd,Southampton,8.01,0,0,0
male,31.0,2nd,Southampton,13.0,0,0,0
male,24.0,2nd,Southampton,13.0,0,0,0
female,17.0,3rd,Queenstown,7.1408,0,0,1
male,30.0,2nd,Southampton,13.0,0,0,0
female,18.0,3rd,Queenstown,7.15,0,0,1
male,47.0,1st,Cherbourg,89.0201,1,0,1
female,40.0,1st,Cherbourg,89.0201,1,0,1
male,71.0,1st,Cherbourg,34.1301,0,0,0
male,9.0,3rd,Southampton,20.1006,0,2,1
male,33.0,3rd,Southampton,20.1006,1,1,0
male,41.0,3rd,Southampton,7.17,0,0,0
female,31.0,3rd,Southampton,20.1006,1,1,1
male,9.0,3rd,Southampton,46.18,5,2,0
male,1.0,3rd,Southampton,46.18,5,2,0
male,11.0,3rd,Southampton,46.18,5,2,0
female,10.0,3rd,Southampton,46.18,5,2,0
female,16.0,3rd,Southampton,46.18,5,2,0
male,14.0,3rd,Southampton,46.18,5,2,0
male,42.0,3rd,Southampton,46.18,1,6,0
female,43.0,3rd,Southampton,46.18,1,6,0
male,53.0,1st,Southampton,28.1,0,0,1
female,19.0,1st,Southampton,153.0903,0,0,1
male,38.0,1st,Southampton,30.0,0,1,0
female,59.0,1st,Southampton,153.0903,0,1,1
male,52.0,2nd,Southampton,13.0,0,0,0
female,45.0,1st,Cherbourg,63.0702,0,1,1
male,23.0,1st,Cherbourg,63.0702,0,1,1
male,20.0,engineering crew,Southampton,0.0,0,0,0
male,41.0,3rd,Southampton,8.01,0,0,0
male,32.0,3rd,Southampton,8.0615,0,0,0
male,25.0,3rd,Southampton,8.01,0,0,0
male,46.0,1st,Cherbourg,79.04,0,0,0
